site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,5,39,19515.0,1,1.0,0.26757915107172003,2,1,6380.0,31.0,69.0,0,38,U-Sensitive,0.4,0.2,7348.0,0.27,0.30086575319819486,4259.0,Divert,-0.73,Do_Not_Divert,-0.2510145168425424,Do_Not_Divert,-0.27970989508708327
PSU,021,Human_Single,Sample-Exam-2,5,40,17332.0,1,1.0,0.46259323796033636,4,1,3854.0,27.0,73.0,0,39,U-Sensitive,0.4,0.8,9250.0,0.7,0.6139472774774777,2668.0,Divert,-0.30000000000000004,Do_Not_Divert,-0.20947786742211638,Do_Not_Divert,-0.18372623770799484
PSU,022,Human_Single,Sample-Exam-2,5,1,23306.0,1,1.0,0.31497503765204016,3,0,NaN,NaN,NaN,NaN,0,P-Sensitive,0.4,0.2,17628.0,0.2,0.30000000000000004,4368.0,Divert,-0.8,Do_Not_Divert,-0.22202995481755183,Do_Not_Divert,-0.33304493222632775
PSU,022,Human_Single,Sample-Exam-2,5,2,63415.0,1,0.4,0.5063359234067369,2,0,39718.0,40.0,60.0,0,1,P-Sensitive,0.4,0.2,14321.0,0.2,0.3333333333333333,5678.0,Divert,-0.8,Do_Not_Divert,0.0050687387253895546,Do_Not_Divert,0.008447897875649257
PSU,022,Human_Single,Sample-Exam-2,5,3,19359.0,1,0.7,0.5833671913934919,3,1,2698.0,40.0,60.0,0,2,P-Sensitive,0.4,0.2,8596.0,0.2,0.32,6614.0,Divert,-0.8,Do_Not_Divert,0.1000406296721903,Do_Not_Divert,0.16006500747550448
PSU,022,Human_Single,Sample-Exam-2,5,4,12745.0,1,0.4,0.18294592578280877,2,0,1857.0,40.0,60.0,0,3,P-Sensitive,0.6,0.2,5803.0,0.2,0.5,3588.0,Divert,-0.8,Do_Not_Divert,-0.253643259373753,Divert,-0.5
PSU,022,Human_Single,Sample-Exam-2,5,5,11030.0,1,0.7,0.600383523270104,2,0,3230.0,40.0,60.0,0,4,P-Sensitive,0.4,0.2,4274.0,0.2,0.3410520256170397,2262.0,Do_Not_Divert,0.08030681861608323,Do_Not_Divert,0.08030681861608323,Do_Not_Divert,0.13694401579937687
PSU,022,Human_Single,Sample-Exam-2,5,6,10888.0,1,0.9,0.35399626921032723,2,1,655.0,40.0,60.0,0,5,P-Sensitive,0.4,0.2,3354.0,0.2,0.3248154218606679,5834.0,Do_Not_Divert,-0.11680298463173822,Do_Not_Divert,-0.11680298463173822,Do_Not_Divert,-0.1896970536387158
PSU,022,Human_Single,Sample-Exam-2,5,7,13229.0,1,1.0,0.4936615703684375,5,1,515.0,40.0,60.0,0,6,P-Sensitive,0.4,0.8,8565.0,0.8,0.5833369334991367,2511.0,Divert,-0.19999999999999996,Do_Not_Divert,-0.050707437052500026,Do_Not_Divert,-0.03697440104475734
PSU,022,Human_Single,Sample-Exam-2,5,8,11888.0,1,0.4,0.2934773373366659,5,0,515.0,40.0,60.0,0,7,P-Sensitive,0.4,0.8,7831.0,0.8,0.5678979180658161,2606.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.43210208193418387
PSU,022,Human_Single,Sample-Exam-2,5,9,11762.0,1,0.7,0.11321259137099404,3,0,3385.0,40.0,60.0,0,8,U-Sensitive,0.6,0.2,5132.0,0.2,0.39694588071716885,2231.0,Do_Not_Divert,-0.46414489035480716,Do_Not_Divert,-0.46414489035480716,Divert,-0.6030541192828311
PSU,022,Human_Single,Sample-Exam-2,5,10,17628.0,1,0.4,0.03376673619351811,5,0,1076.0,40.0,60.0,0,9,U-Sensitive,0.6,0.8,12324.0,0.8,0.6881006199225657,2247.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.31189938007743434
