39,9,0,3,0.25,0.09,0.37,0.29
39,10,5,4,0.03,0.12,0.59,0.26
40,1,0,1,0.4,0.25,0.33,0.02
40,2,0,2,0.03,0.43,0.32,0.22
40,3,0,4,0.1,0.33,0.05,0.52
40,4,0,4,0.33,0.37,0.01,0.29
40,5,5,3,0.56,0.08,0.26,0.1
40,6,0,2,0.05,0.44,0.22,0.29
40,7,6,1,0.13,0.05,0.52,0.3
40,8,0,2,0.27,0.24,0.11,0.38
40,9,5,3,0.25,0.09,0.37,0.29
40,10,2,4,0.03,0.12,0.59,0.26
41,1,0,1,0.4,0.25,0.33,0.02
41,2,0,2,0.03,0.43,0.32,0.22
41,3,0,4,0.1,0.33,0.05,0.52
41,4,1,4,0.33,0.37,0.01,0.29
41,5,3,3,0.56,0.08,0.26,0.1
41,6,1,2,0.05,0.44,0.22,0.29
41,7,6,1,0.13,0.05,0.52,0.3
41,8,1,2,0.27,0.24,0.11,0.38
41,9,1,3,0.25,0.09,0.37,0.29
41,10,5,4,0.03,0.12,0.59,0.26
42,1,1,1,0.4,0.25,0.33,0.02
42,2,5,2,0.03,0.43,0.32,0.22
42,3,1,4,0.1,0.33,0.05,0.52
42,4,1,4,0.33,0.37,0.01,0.29
42,5,1,3,0.56,0.08,0.26,0.1
42,6,1,2,0.05,0.44,0.22,0.29
42,7,5,1,0.13,0.05,0.52,0.3
42,8,1,2,0.27,0.24,0.11,0.38
42,9,1,3,0.25,0.09,0.37,0.29
42,10,5,4,0.03,0.12,0.59,0.26
43,1,4,1,0.4,0.25,0.33,0.02
43,2,4,2,0.03,0.43,0.32,0.22
43,3,4,4,0.1,0.33,0.05,0.52
43,4,5,4,0.33,0.37,0.01,0.29
43,5,5,3,0.56,0.08,0.26,0.1
43,6,5,2,0.05,0.44,0.22,0.29
43,7,5,1,0.13,0.05,0.52,0.3
43,8,4,2,0.27,0.24,0.11,0.38
43,9,4,3,0.25,0.09,0.37,0.29
43,10,5,4,0.03,0.12,0.59,0.26
44,1,0,1,0.4,0.25,0.33,0.02
44,2,1,2,0.03,0.43,0.32,0.22
44,3,0,4,0.1,0.33,0.05,0.52
44,4,4,4,0.33,0.37,0.01,0.29
44,5,4,3,0.56,0.08,0.26,0.1
44,6,0,2,0.05,0.44,0.22,0.29
44,7,6,1,0.13,0.05,0.52,0.3
44,8,1,2,0.27,0.24,0.11,0.38
44,9,1,3,0.25,0.09,0.37,0.29
44,10,6,4,0.03,0.12,0.59,0.26
45,1,1,1,0.4,0.25,0.33,0.02
45,2,6,2,0.03,0.43,0.32,0.22
45,3,0,4,0.1,0.33,0.05,0.52
45,4,6,4,0.33,0.37,0.01,0.29
45,5,6,3,0.56,0.08,0.26,0.1
45,6,6,2,0.05,0.44,0.22,0.29
45,7,6,1,0.13,0.05,0.52,0.3
45,8,6,2,0.27,0.24,0.11,0.38
45,9,0,3,0.25,0.09,0.37,0.29
45,10,6,4,0.03,0.12,0.59,0.26
46,1,1,1,0.4,0.25,0.33,0.02
46,2,5,2,0.03,0.43,0.32,0.22
46,3,1,4,0.1,0.33,0.05,0.52
46,4,3,4,0.33,0.37,0.01,0.29
46,5,3,3,0.56,0.08,0.26,0.1
46,6,1,2,0.05,0.44,0.22,0.29
46,7,6,1,0.13,0.05,0.52,0.3
46,8,3,2,0.27,0.24,0.11,0.38
46,9,1,3,0.25,0.09,0.37,0.29
46,10,6,4,0.03,0.12,0.59,0.26
47,1,2,1,0.4,0.25,0.33,0.02
47,2,2,2,0.03,0.43,0.32,0.22
47,3,3,4,0.1,0.33,0.05,0.52
47,4,3,4,0.33,0.37,0.01,0.29
47,5,4,3,0.56,0.08,0.26,0.1
47,6,1,2,0.05,0.44,0.22,0.29
47,7,6,1,0.13,0.05,0.52,0.3
47,8,1,2,0.27,0.24,0.11,0.38
