site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,probs_Ppc_time,probs_Ppc_1,probs_Ppc_normative_1,probs_Pt_time,probs_Pt_1,probs_Pt_normative_1,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,006,Human_Single,Sample-Exam-1,1,9,35241.0,1,0.9,0.22068185914010596,3,0,0.6,6224.0,0.6,0.6,8674.0,0.75,0.54,7831.0,0.8,0.3333333333333333,5944.0,0.77,0.3698630136986301,NaN,Do_Not_Divert,-1.2904498107727105,Divert,-0.22999999999999998,Do_Not_Divert,-0.6198566961548333
PSU,006,Human_Single,Sample-Exam-1,1,10,36317.0,1,1.0,0.3162001027225234,4,0,0.4,5881.0,0.4,0.4,6880.0,0.7,0.4,8642.0,0.8,0.3333333333333333,3853.0,0.75,0.25,NaN,Do_Not_Divert,-1.1027993836648595,Divert,-0.25,Do_Not_Divert,-0.3675997945549532
PSU,007,Human_Single,Sample-Exam-1,1,1,205905.0,1,1.0,0.11936008179624569,5,0,0.8,71651.0,0.92,0.8,30935.0,0.95,0.8,22699.0,0.4,0.3333333333333333,14991.0,0.9,0.6666666666666665,NaN,Do_Not_Divert,-3.425759263833789,Divert,-0.09999999999999998,Divert,-0.3333333333333335
PSU,007,Human_Single,Sample-Exam-1,1,2,106095.0,1,1.0,0.16330383067108623,5,1,0.8,23181.0,0.85,0.8,18003.0,0.9,0.8,7176.0,0.95,0.7499999999999999,12074.0,0.95,0.923076923076923,NaN,Divert,-0.050000000000000044,Divert,-0.050000000000000044,Divert,-0.07692307692307698
PSU,007,Human_Single,Sample-Exam-1,1,3,342795.0,1,0.4,0.14276261550754787,2,0,0.6,21856.0,0.75,0.6,63929.0,0.32,0.24,111868.0,0.2,0.3333333333333333,25958.0,0.15,0.13636363636363635,NaN,Do_Not_Divert,-0.21434243069547126,Do_Not_Divert,-0.21434243069547126,Do_Not_Divert,-0.19485675517770115
PSU,007,Human_Single,Sample-Exam-1,1,4,156110.0,1,0.4,0.11861665779644381,2,0,0.6,31622.0,0.5,0.6,11342.0,0.2,0.24,38439.0,0.4,0.3333333333333333,34882.0,0.12,0.13636363636363635,NaN,Do_Not_Divert,-0.18306400425770697,Do_Not_Divert,-0.18306400425770697,Do_Not_Divert,-0.2080272775655761
PSU,007,Human_Single,Sample-Exam-1,1,5,92336.0,1,0.4,0.14059513952817182,3,0,0.6,34430.0,0.3,0.6,9438.0,0.2,0.24,14461.0,0.4,0.3333333333333333,12777.0,0.12,0.13636363636363635,NaN,Do_Not_Divert,-0.2587714995397163,Do_Not_Divert,-0.2587714995397163,Do_Not_Divert,-0.29405852220422307
PSU,007,Human_Single,Sample-Exam-1,1,6,101915.0,1,0.7,0.2199268518374785,5,1,0.8,34882.0,0.6,0.8,14773.0,0.7,0.5599999999999999,21092.0,0.6,0.7499999999999999,7378.0,0.8,0.7924528301886792,NaN,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.20754716981132082
PSU,007,Human_Single,Sample-Exam-1,1,7,155907.0,1,0.4,0.20731014083602806,3,0,0.6,80918.0,0.4,0.6,10296.0,0.32,0.24,23198.0,0.4,0.3333333333333333,14570.0,0.25,0.13636363636363635,NaN,Do_Not_Divert,-0.4390347887459579,Do_Not_Divert,-0.4390347887459579,Do_Not_Divert,-0.23947352113415885
PSU,007,Human_Single,Sample-Exam-1,1,8,125455.0,1,0.7,0.2820442849216881,3,1,0.2,19968.0,0.2,0.2,32713.0,0.4,0.13999999999999999,21029.0,0.7,0.7499999999999999,25724.0,0.65,0.32812499999999983,NaN,Do_Not_Divert,-0.8500272888054164,Divert,-0.35,Do_Not_Divert,-0.42910031406042637
