site_id,subject_id,Age,Gender,AssociatesDegreeDiscipline,BachelorsDegreeDiscipline,CertificateDegreeDiscipline,MastersDegreeDiscipline,PhdDiscipline,CurrentDegree,CurrentDegreeDiscipline,HighestDegree,Job_1_Type,Job_1_Employer,Job_1_Title,Job_1_Years,Job_2_Type,Job_2_Employer,Job_2_Title,Job_2_Years,Job_3_Type,Job_3_Employer,Job_3_Title,Job_3_Years,Job_4_Type,Job_4_Employer,Job_4_Title,Job_4_Years,Job_5_Type,Job_5_Employer,Job_5_Title,Job_5_Years,Job_6_Type,Job_6_Employer,Job_6_Title,Job_6_Years,Job_7_Type,Job_7_Employer,Job_7_Title,Job_7_Years,Job_8_Type,Job_8_Employer,Job_8_Title,Job_8_Years,Job_9_Type,Job_9_Employer,Job_9_Title,Job_9_Years,Job_10_Type,Job_10_Employer,Job_10_Title,Job_10_Years,YearsExperience,YearsGeoIntExperience,ProbabilityAndStatsTraining,ProbabilityAndStatsFrequency,GeospatialDataFrequency,GeointAnalysisLevel,SpatialAbility,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,FoxHedgehogScore,SNA,CRTScore,VGE
PSU,158,24,Male,,Biology,,Biotechnology,,Master,Computer Science,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,1,3,151,79,88,110,277,4,,0,
PSU,159,22,Female,,,,,,Bachelor,Security and Risk Analysis,,Military,U.S. Army War College,Intern,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0,2,1,2,1,2,136,85,79,98,262,-40,,0,
PSU,160,21,Male,,,,,,Bachelor,Nutritional Sciences,,Other,Mine Hill Dept. Public Works,Summer Temp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,0,0,3,133,76,85,101,262,-4,,3,
PSU,161,19,Female,,,,,,,,,Other,NROTC,Midshipman,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,2,1,3,136,82,85,98,265,-4,,0,
PSU,162,21,Male,,,,,,Bachelor,Electrical Engineering,,Other,Chester Springs Creamery,Server,4,Other,Milky Way Farm,Farm Hand,1,Other,Chipotle Mexican Grill,Server/Prep/Cook,1,Other,Savantis Group,Consultant Intern,1,Other,SAP America,Center of Expertise Intern,1,,,,,,,,,,,,,,,,,,,,,8,0,1,1,0,0,2,139,76,76,110,262,12,,2,
PSU,163,23,Female,,,,,,Bachelor,psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,2,133,76,79,98,253,32,,0,
PSU,164,22,Male,,,,,,Bachelor,Electrical Engineering,,Other,Rite Aid,Pharmacy Technician,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0,2,1,1,0,2,139,79,82,101,262,-24,,1,
PSU,165,20,Male,,,,,,Bachelor,Integrative Arts / Music Technology,,Other,Bryce Jordan Center,Stage Crew,1,Other,Sellersville Theater,Sound Tech / Stage Crew,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,3,133,82,85,110,277,38,,3,
PSU,166,21,Male,,,,,,Bachelor,IST,,,,,,Other,The Pennsylvania State University,Student Worker,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,0,151,88,88,107,283,20,,0,
PSU,167,22,Male,,,,,,Bachelor,,,Other,BJC,Stage Crew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,1,139,82,79,101,262,4,,0,
PSU,169,40,Female,,,,Education,,,,Master,Other,Penn State,Senior Lecturer,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,1,2,0,2,133,76,76,98,250,24,,1,
PSU,173,20,Female,,,,,,Bachelor,Security Risk Analysis,,Other,Col. Jake Graham,Student researcher,1,Other,IST,Learning Assisstant,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,1,2,136,76,76,101,253,-2,,1,
PSU,180,59,Male,Art Education,Architecture,,Public Administration,,,,Master,Other,Penn State University,Professor of Practice,7,Other,USMC,Colonel  Pilot,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,1,1,2,2,3,136,76,76,98,250,8,,3,
PSU,181,44,Female,,History,,,,,,Bachelor,,,,,Other,Penn State University,Assistant Learning Designer,0.5,Other,Penn State University,Production Assistant,11,Other,Broadband Networks Inc.,Administrative Support,6,,,,,,,,,,,,,,,,,,,,,,,,,17.5,0,0,0,0,0,2,145,79,85,110,274,-6,,0,
PSU,182,41,Female,,Graphic Design,,,,,,Bachelor,Other,Penn State,Multi-media Specialist,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,2,142,76,85,107,268,16,,0,
PSU,183,39,Female,,,,Education,,,,Master,Other,Penn State University,Learning Designer,0.5,Other,Self,Preschool Music Teacher,7,Other,Bald Eagle Area School District,Music Teacher,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0,1,1,0,0,2,142,79,79,104,262,-26,,1,
PSU,185,32,Male,,Meteorology,,Adult Education,,,,Master,Other,Penn State University,Lecturer,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1,2,3,1,3,133,76,79,104,259,34,,3,
PSU,186,42,Female,,Health Policy and Adminstration,,,,,,Bachelor,Other,Dutton Institute  Penn State,Assistant Instructional Designer,9,Other,Olsten Staffing Services,Placement counselor,2,Other,Bartell and Bartell,sales and marketing,2,Other,Manpower,Placement counselor,1.5,Other,New Health Management Systems,Assistant Nursing Home Adminstrator,2.5,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,1,136,76,79,98,253,-18,,0,
PSU,187,33,Male,,,,,,Bachelor,Security And Risk Analysis,,Other,Defense Logistics Agency,Human Resource Specialist,2,IntelAnalysis,United States Marine Corps,Intelligence Analyst,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,1,2,1,2,3,133,57,85,98,240,20,,1,
PSU,188,21,Female,,,,,,Bachelor,Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,1,136,76,79,104,259,16,,0,
PSU,189,46,Female,,Secondary Education,,Adult Education,,,,Master,,,,,Other,Penn State,Assistant Director for Learning Design  Dutton Institute,3.25,Other,Penn State,Communications Support Coord  World Campus,2,Other,Penn State,Instructional Designer  IST,2,Other,Penn State,Instructional Designer  World Campus,6,Other,Mifflin County School District,English Teacher,7,,,,,,,,,,,,,,,,,20.25,0,1,1,1,0,1,136,79,88,107,274,24,,3,
PSU,190,37,Female,,Agriculture and Natural Resources,,Educational Media,,,,Master,Other,Penn State,Graphic Designer,2,Other,Adventure of the American Mind,Program Assistant,,Other,Brevard College Library,Technology Assistant,1,Other,Brevard College ESMNS,Secretary,2,Other,Forward in the Fifth,Administrative Assistant,,,,,,,,,,,,,,,,,,,,,,5,0,1,1,0,0,2,133,76,79,104,259,22,,0,
PSU,191,29,Male,,,,,,Bachelor,International Conflict Management,,Military,U.S. Army,Infantryman,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,1,3,2,3,139,79,85,110,274,2,,2,
PSU,192,19,Female,,,,,,Bachelor,Chem Eng,,,,,,Military,Navy Reserve,Midshipman,2,Other,Self,Nanny,6,Other,Association Advisors Property Management  LLC,Administrative Assistant,4,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,2,145,79,82,107,268,-14,,2,
